=== DETAIL ZONE: FLIP + Heightfield ===
FLIP grid: 64x32x64 at 1.0m
Press 1 to spawn water
GpuFlip3D initialized
Heightfield water: 865.72, sediment: 15.12 | FLIP particles: 0
Heightfield water: 863.09, sediment: 27.91 | FLIP particles: 0
Heightfield water: 861.21, sediment: 37.85 | FLIP particles: 0
Heightfield water: 860.12, sediment: 46.46 | FLIP particles: 0
Heightfield water: 859.54, sediment: 54.88 | FLIP particles: 0
Heightfield water: 859.23, sediment: 64.13 | FLIP particles: 0
Heightfield water: 858.97, sediment: 75.18 | FLIP particles: 0
Heightfield water: 858.61, sediment: 87.93 | FLIP particles: 0
Heightfield water: 858.20, sediment: 102.08 | FLIP particles: 0
Heightfield water: 857.75, sediment: 116.93 | FLIP particles: 0
Heightfield water: 857.29, sediment: 132.84 | FLIP particles: 0
Heightfield water: 856.77, sediment: 149.21 | FLIP particles: 0
